"rep","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
83,"BIDIFAC+",7,5,5,1.12631138745825,0.176536877407952,1.08551010516898,0.152121372192327,218.032999999999,NA
84,"PPD",5,1,4,1.40632207376629,0.266305970414459,1.06484950668245,0.115663097337661,208.453,NA
84,"BIDIFAC+",6,4,4,1.14740060799354,0.17426505274604,1.10043000332859,0.151184056454525,213.604000000001,NA
85,"PPD",4,2,5,1.52890821622402,0.174160453398277,1.19802376124407,0.0895344206127623,213.272999999999,NA
85,"BIDIFAC+",6,5,4,1.16271256404219,0.174243344703426,1.11764662670409,0.152708879278024,201.234,NA
86,"PPD",4,2,5,1.5494903496621,0.186205840515281,1.19935814481368,0.0899620549800316,206.921,NA
86,"BIDIFAC+",6,4,4,1.15559670439208,0.178607089448782,1.10611782289306,0.152242713603972,209.380999999999,NA
87,"PPD",4,2,5,1.52958449175194,0.179984655546422,1.19753805279154,0.0889608760203937,207.913,NA
87,"BIDIFAC+",6,5,5,1.10829719819973,0.174961010763609,1.06691577124295,0.150358466829464,212.533000000001,NA
88,"PPD",4,2,5,1.53938238476292,0.178243412666254,1.1939400071525,0.089523951660379,209.780000000001,NA
88,"BIDIFAC+",6,5,5,1.13711834042092,0.177846562634058,1.08772939362532,0.150602762828857,211.522999999999,NA
89,"PPD",4,2,5,1.51845102328256,0.172245472307331,1.19114852871748,0.0907633823897316,203.18,NA
89,"BIDIFAC+",6,4,5,1.0852530639719,0.175742367979752,1.03978985802859,0.152386262138363,213.940999999999,NA
90,"PPD",4,2,5,1.53751802518499,0.183532858960774,1.19695838659912,0.0901491917779595,209.057999999999,NA
90,"BIDIFAC+",7,4,5,1.08910934840986,0.178087990552719,1.03948941871706,0.150478278057502,207.849999999999,NA
91,"PPD",5,1,4,1.399495015067,0.275944041611643,1.06035792122429,0.116817116189017,205.59,NA
91,"BIDIFAC+",6,4,5,1.09423535704304,0.182002984586737,1.05532952637542,0.151772493839929,215.476000000001,NA
92,"PPD",4,2,5,1.5167476629399,0.179350647235759,1.19476591444019,0.0905281146947228,208.177,NA
92,"BIDIFAC+",6,4,4,1.15295676565868,0.170679748058659,1.11706541543829,0.150386669303029,212.528999999999,NA
93,"PPD",4,2,5,1.51344332894176,0.182249272179133,1.19568377127415,0.0906058045674622,207.27,NA
93,"BIDIFAC+",6,4,4,1.08613546823674,0.177526830341109,1.0524474606079,0.151894153185851,207.713,NA
94,"PPD",5,1,4,1.39437557536367,0.277349389366855,1.06120736978033,0.116658901215813,207.352999999999,NA
94,"BIDIFAC+",6,4,4,1.0945266226411,0.181709360807392,1.05271215843894,0.152168031313011,212.985000000001,NA
95,"PPD",5,1,4,1.38503336513121,0.275973292869681,1.06359055564492,0.115943333395862,204.951999999999,NA
95,"BIDIFAC+",6,5,4,1.10737223279971,0.185024403459003,1.07854800364076,0.151275740555803,206.959000000001,NA
96,"PPD",4,2,5,1.53477523386719,0.179335676391413,1.19295619621887,0.0914108964862481,201.309000000001,NA
96,"BIDIFAC+",6,5,5,1.14538443171544,0.175633726937329,1.0943951964458,0.152281967246741,208.482,NA
97,"PPD",5,1,4,1.39421005810658,0.272142269002648,1.06204473156402,0.116994431090397,211.127,NA
97,"BIDIFAC+",6,5,4,1.12197951817628,0.179708767990943,1.08855237988167,0.151390738115595,215.345000000001,NA
98,"PPD",5,1,4,1.39674251776586,0.272910471848401,1.06383411414533,0.115918790033567,200.203,NA
98,"BIDIFAC+",6,5,4,1.14016977893819,0.179050843527536,1.10616097104599,0.151589995768013,214.564,NA
99,"PPD",4,2,5,1.53401577129769,0.186578917748053,1.19534877208609,0.0902142074100954,210.368999999999,NA
99,"BIDIFAC+",6,4,4,1.10237612928438,0.178654466515717,1.05716927191066,0.15121404446237,212.135,NA
100,"PPD",4,2,5,1.55371047792528,0.175456398481547,1.21019538602163,0.089074916205427,204.01,NA
100,"BIDIFAC+",6,4,5,1.15839900244236,0.169646461978253,1.11007594371394,0.151297295920109,209.036,NA
