"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
35,"PPD",4,1,1,3,0,1,4,0.289238050770263,0.673274054060482,0.0990175293929277,0.312192775285971,1,1.01608980704999,0.0673457456919539,603.417,NA
35,"BIDIFAC+",4,1,5,8,1,1,12,0.20501843615637,0.0376802585160489,0.444785618128839,0.100155819993389,0.394718689588224,0.999999584293503,0.185358956660641,1723.216,NA
36,"PPD",4,1,1,3,0,1,4,0.383868507524585,0.949363098533616,0.382027011610444,0.177729123578426,1,0.855682111267078,0.0793218933682432,600.064,NA
36,"BIDIFAC+",4,1,5,7,2,1,12,0.227633244119023,0.0367658792192132,0.576466406340694,0.109839218524961,0.395325160742316,0.998648890072111,0.17146602229286,1511.063,NA
37,"PPD",4,1,1,3,0,1,4,0.140567609783392,0.206165438626367,0.117049474311431,0.177041601633603,1,0.758511516821031,0.0498420335812395,1083.824,NA
37,"BIDIFAC+",4,2,5,8,2,1,12,0.222209448739608,0.0380195669711937,0.541464363657694,0.110369865353487,0.396593550040281,0.999911256717269,0.172620947774612,2507.634,NA
38,"PPD",4,1,1,3,0,1,4,0.0874118762409182,0.0905525723834113,0.0968314651173939,0.186207607060698,1,0.789032809952757,0.0514643395118092,598.423,NA
38,"BIDIFAC+",4,1,5,7,2,1,12,0.223887853190381,0.0389088249049729,0.517389757716363,0.111987870324175,0.371208347298218,0.99720355337188,0.179642701963671,1524.409,NA
39,"PPD",4,1,1,3,0,1,4,0.388761007448138,0.951551584034729,0.255549395000521,0.184964253001444,1,0.801084880448657,0.0629262751479156,1121.116,NA
39,"BIDIFAC+",4,1,4,7,1,1,11,0.225237938912769,0.0367270803446484,0.581944528696969,0.108980533970348,0.39918175183449,0.99996943818532,0.171443008372482,2525.108,NA
40,"PPD",4,1,1,3,0,1,4,0.0682737223408957,0.0350370398515363,0.0511516748294568,0.175813640831571,1,0.878390393697429,0.0548493760818624,600.061,NA
40,"BIDIFAC+",4,1,4,7,2,1,11,0.220719625761959,0.0381435316495582,0.547963412252204,0.11041539658272,0.372804367456622,0.999141975157754,0.179227161683015,1541.018,NA
41,"PPD",4,1,1,3,0,1,4,0.159778015432078,0.265686694014537,0.121609490314964,0.154131746433473,1,0.890358465348008,0.0580633551797659,611.759,NA
41,"BIDIFAC+",4,1,4,8,2,1,11,0.212076470195824,0.0380331897894699,0.489512139176077,0.102960736021153,0.361482333422217,0.998113412807326,0.17647148096503,1502.748,NA
42,"PPD",4,1,1,3,0,1,4,0.0987930646996912,0.115436338110918,0.125525820058876,0.187503845884387,1,0.859856934560746,0.0548589959966031,1125.56,NA
42,"BIDIFAC+",4,1,5,8,1,1,12,0.218341011140156,0.0379960519290358,0.51994793020703,0.107521534065951,0.369476786701182,0.999924218217259,0.180417975080003,2544.648,NA
43,"PPD",4,1,1,3,0,1,4,0.178749564609038,0.347451682681652,0.141395154782877,0.180899591877743,1,0.814020811450105,0.0543699311670637,600.304,NA
43,"BIDIFAC+",3,1,4,7,2,1,12,0.230645641008857,0.0387458232346442,0.593961689501047,0.113680409460354,0.386205107433264,0.999355442545603,0.171939705204755,1411.623,NA
44,"PPD",4,1,1,3,0,1,4,0.321528553821766,0.750984014362317,0.180042250180136,0.178451702834597,1,0.812303831977343,0.0584373853509602,1116.439,NA
44,"BIDIFAC+",4,1,5,7,1,1,12,0.236340280929736,0.036698742009347,0.584155776038072,0.114971863702236,0.408216907682313,0.999979777705364,0.174438368549693,1881.888,NA
45,"PPD",4,1,1,3,0,1,4,0.0754861285240557,0.0173252264528588,0.105164691206595,0.194411583554712,1,0.831338121790023,0.0519727078587373,1067.722,NA
45,"BIDIFAC+",4,1,5,8,1,1,12,0.208068008328031,0.0355519744767424,0.462251830910617,0.108559234181431,0.405605305527639,0.999318713078626,0.17717387802763,2380.39,NA
46,"PPD",4,1,1,4,0,0,3,0.0784329219094138,0.0170179786361704,0.0893096862410044,0.223565140666634,1,1,0.0657702033046103,1109.158,NA
46,"BIDIFAC+",4,1,4,7,2,1,11,0.205155180215884,0.0395260821137104,0.477721783703977,0.102336191546634,0.380630773974751,0.999507245940549,0.177271301917547,1707.504,NA
47,"PPD",4,1,1,3,0,1,4,0.0882991070766971,0.0387580803289597,0.0877175177416992,0.214178170286634,1,0.769613358836029,0.051780678168352,1124.182,NA
47,"BIDIFAC+",4,1,5,7,1,1,12,0.213624028539267,0.0372529065401544,0.503828499699068,0.105531781974833,0.386485139524931,0.998991765531627,0.175740039719123,1762.794,NA
48,"PPD",4,1,1,3,0,1,4,0.384464126005657,0.947729213654753,0.11705954236293,0.179515205462663,1,0.735095596568608,0.0494838654825428,1087.073,NA
48,"BIDIFAC+",4,1,5,8,1,1,12,0.207467635079214,0.0389772457949043,0.493604189611364,0.100617116646522,0.379527244645209,0.999914902857061,0.178453404999624,1537.575,NA
49,"PPD",4,1,1,3,0,1,4,0.168042879439039,0.286604880612667,0.113699081584353,0.174274438163949,1,0.813416018458589,0.0501145153517299,1114.427,NA
49,"BIDIFAC+",4,1,6,8,2,1,12,0.220538359983883,0.038788111158798,0.557459809180975,0.106152038600562,0.388430795854308,0.99821152593934,0.171383327221803,2470.969,NA
50,"PPD",4,1,1,4,0,0,3,0.0957382432457846,0.0583826685175552,0.0673289196453989,0.199144468634918,1,1,0.0657648763364409,1121.904,NA
50,"BIDIFAC+",3,1,5,8,1,1,12,0.219910470993782,0.0391184482686829,0.503038590783456,0.109339670580416,0.385792082502895,0.999771284675158,0.179363867898375,2717.611,NA
51,"PPD",4,1,1,3,0,1,4,0.387488656114116,0.951554831272621,0.184026746389803,0.193933310890528,1,0.833249318262344,0.0602607449645217,601.752,NA
51,"BIDIFAC+",4,2,4,7,2,1,12,0.228415057863321,0.0375052695907216,0.585909714058274,0.106645184124092,0.403120994590661,0.999983513455481,0.174053564758468,1536.417,NA
