"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
75,0.1,0,0,"PPD",1,5,8,0.910080697809831,1.05671731019294,3.24360252439032,2.12994556423762,252.924,NA
76,0.1,0,0,"PPD",1,5,8,0.819447987266886,0.924942508885818,3.23012874946159,2.06267871783044,205.363,NA
77,0.1,0,0,"PPD",1,5,8,0.916979327679459,0.912028278648475,3.4188653457456,2.08600076316169,181.636,NA
78,0.1,0,0,"PPD",1,5,8,0.860358919733321,1.01105142271448,3.39788155079692,2.08410088890161,198.507,NA
79,0.1,0,0,"PPD",1,5,8,0.831947583714368,0.918749756831183,3.40082374033868,2.07078070400972,207.552,NA
80,0.1,0,0,"PPD",1,5,8,0.889903143947982,0.992957644755137,3.35988787964103,2.10531485612384,150.089,NA
81,0.1,0,0,"PPD",1,5,8,0.82416857348127,0.8880927810957,3.29368614766065,2.10200407228561,170.631,NA
82,0.1,0,0,"PPD",1,5,8,0.880332704996759,0.932891388690443,3.34274899078079,2.07105007063128,187.323,NA
83,0.1,0,0,"PPD",1,5,8,0.927922152947273,0.974882673846163,3.29561282550272,2.02442455325601,166.439,NA
84,0.1,0,0,"PPD",1,5,8,0.797963613550384,0.936911383082933,3.37403627183785,2.09855861889912,157.711,NA
85,0.1,0,0,"PPD",1,5,8,0.860745602621071,0.982421823126414,3.39075335034075,2.0889237292105,186.247,NA
86,0.1,0,0,"PPD",1,5,8,0.9301966991019,1.01405386117926,3.47254113721547,2.10529291690032,198.938,NA
87,0.1,0,0,"PPD",1,5,8,0.840794681560567,0.966930044330209,3.24734490453107,2.06547408905751,203.558,NA
88,0.1,0,0,"PPD",1,5,8,0.911463167648109,0.987359202033271,3.38093095286257,2.06628785612247,208.342,NA
89,0.1,0,0,"PPD",1,5,8,0.83714948475019,0.877888893534982,3.3230933023574,2.06916222915364,159.855,NA
90,0.1,0,0,"PPD",1,5,8,0.895917450178327,0.965880960284413,3.36022376996424,2.08397516415805,189.501,NA
91,0.1,0,0,"PPD",1,5,8,0.827907917331674,0.885543782383627,3.20747555985065,2.06159247074509,156.135,NA
92,0.1,0,0,"PPD",1,5,8,0.949281499802071,1.07804623008202,3.41211184807795,2.14396106558575,197.017,NA
93,0.1,0,0,"PPD",1,5,8,0.951825697513842,1.06590630804703,3.37098054538554,2.07021371534269,183.38,NA
94,0.1,0,0,"PPD",1,5,8,1.01628373657318,0.940710547874075,3.56030864601686,2.06327598629401,163.603,NA
95,0.1,0,0,"PPD",1,5,8,0.835553979562346,0.913780765471794,3.23705420061006,2.06262281054046,159.796,NA
96,0.1,0,0,"PPD",1,5,8,0.880875527148445,0.937170129447698,3.30172923005387,2.0925841929194,171.931,NA
97,0.1,0,0,"PPD",1,5,8,0.910479431469933,0.993739409785414,3.34807959000864,2.11625563774903,173.334,NA
98,0.1,0,0,"PPD",1,5,8,0.929029005390165,1.01290898974372,3.45165472893797,2.05323496079122,134.362,NA
99,0.1,0,0,"PPD",1,5,8,0.834803938975119,0.887469494866613,3.25046054600783,2.04168236767688,213.529,NA
